username,post_id,timestamp,likes,comments,followers,engagement_rate,sponsored,is_video,caption,img_file,tier,caption_clean,sentiment_score,caption_length,hashtag_count,emoji_count,has_cta
crystalspinelli,1810585626173750513,1530058647,224,18,6531.0,0.0370540499157862,0,0,"🎢🎈🎡 @pneplayland 
Parque de diversões é um lugar muito bom para tirar fotos super coloridas! Esse clique aí eu fiz sozinha com a câmera frontal do meu iPhone 6. Curtiram? Pra ver o antes e depois da edição, passa lá no stories :) #iloveilac #pneplayland #vancouver2018 #summervancouver #amusmentpark #sweetfloss #cottoncandy",info\crystalspinelli-1810585626173750513.jpg,micro,"🎢🎈🎡 Parque de diversões é um lugar muito bom para tirar fotos super coloridas! Esse clique aí eu fiz sozinha com a câmera frontal do meu iPhone 6. Curtiram? Pra ver o antes e depois da edição, passa lá no stories :) iloveilac pneplayland vancouver2018 summervancouver amusmentpark sweetfloss cottoncandy",-0.416,324,7,3,0
debora.eudoracosmeticos,1964153365542046828,1548365348,8,0,1202.0,0.0066555740432612,0,0,"Aposte nesse lançamento: são cinco cores de batons de Soul Kiss Me Nude. Se você está na dúvida do melhor make, se você quer um look para o dia e para a noite, se você quer ficar na moda… Nude é a resposta. 
R$ 19,99 cada.  Pedido 85 99248.4884 
#SoulEudora #SoulKissMeNude #SóDáNudeEudora #Eudora #ChegaLáeEudora",info\debora.eudoracosmeticos-1964153365542046828.jpg,micro,"Aposte nesse lançamento: são cinco cores de batons de Soul Kiss Me Nude. Se você está na dúvida do melhor make, se você quer um look para o dia e para a noite, se você quer ficar na moda Nude é a resposta. R$ 19,99 cada. Pedido 85 99248.4884 SoulEudora SoulKissMeNude SóDáNudeEudora Eudora ChegaLáeEudora",0.0,313,5,0,0
nabilahhmakeup,1853049621515281692,1535120750,532,8,6191.0,0.0872233887901793,0,0,Why have 1 when you can have 2?  #vacationmode #cakecakecakecake #holidaydiet #croatiasummer2018 #croatiafulloflife #croatia #hoteladriatic #turban #turbanstyle,info\nabilahhmakeup-1853049621515281692.jpg,micro,Why have 1 when you can have 2? vacationmode cakecakecakecake holidaydiet croatiasummer2018 croatiafulloflife croatia hoteladriatic turban turbanstyle,0.0,160,9,0,0
jaleesacharisse,1744505640280462409,1522181299,100,7,10052.0,0.0106446478312773,0,0,"There are✌🏾new videos on my YouTube channel...and the try-on for these Hi-Fi babies from @urbandecaycosmetics is one of them! 🔗 in my bio // not a review, just showing y’all what they look like on chocolate skin ✊🏾💕 #sampleproductreceived",info\jaleesacharisse-1744505640280462409.jpg,micro,"There are✌🏾new videos on my YouTube channel...and the try-on for these Hi-Fi babies from is one of them! 🔗 in my bio // not a review, just showing yall what they look like on chocolate skin ✊🏾💕 sampleproductreceived",0.3164,238,1,6,0
magdalenska84,1978757297682730865,1550106273,44,1,2242.0,0.0200713648528099,0,0,"Love the idea

#vaperazzi #instavape #vapeallday #vapearmy #vapegram #instavaperz #vapenation #vapeporn #vapeon #vapelifestyle #vapecommunity #vapehard #shnotshooter #vaper #vapelove #vapersofinstagram #teamvape #vapefamous #vaping #positivevibesonly #vape",info\magdalenska84-1978757297682730865.jpg,micro,Love the idea vaperazzi instavape vapeallday vapearmy vapegram instavaperz vapenation vapeporn vapeon vapelifestyle vapecommunity vapehard shnotshooter vaper vapelove vapersofinstagram teamvape vapefamous vaping positivevibesonly vape,0.6124,256,21,0,0
thelindsaywoods,1857568407516794594,1535659431,12595,68,313644.0,0.0403737995944446,0,0,"the boshada 
por @naur_ 💕",info\thelindsaywoods-1857568407516794594.jpg,macro,the boshada por 💕,0.0,25,0,1,0
itsjustfatimah,1935108171841767870,1544902892,1580,22,14237.0,0.1125237058369038,0,0,I can’t stop watching high school shojo animes they’re my drug,info\itsjustfatimah-1935108171841767870.jpg,micro,I cant stop watching high school shojo animes theyre my drug,0.0,62,0,0,0
lenalovecurls,1576857252463487994,1502196054,366,13,24187.0,0.0156695745648488,0,0,Throwback Tuesday 🤷🏾‍♀️ My coworker has me wanting to put braids back in my hair 😫. But we all know they won't be in long if I do 🤦🏾‍♀️.,info\lenalovecurls-1576857252463487994.jpg,mid,Throwback Tuesday 🤷🏾♀️ My coworker has me wanting to put braids back in my hair 😫. But we all know they won't be in long if I do 🤦🏾♀️.,0.0,136,0,9,0
realpiinksparkles,1772852247309157690,1525560478,11874,180,179952.0,0.0669845292077887,0,0,I like balls,info\realpiinksparkles-1772852247309157690.jpg,macro,I like balls,0.25,12,0,0,0
donedo,1938101492390403856,1545259723,385,22,59575.0,0.0068317247167436,0,0,What do you think will be the “turns out cigarettes are bad for us” of our generation?,info\donedo-1938101492390403856.jpg,mid,What do you think will be the turns out cigarettes are bad for us of our generation?,-0.4588,86,0,0,0
ashleyswagnerxo,1829995015573675735,1532372427,2376,33,264208.0,0.0091178162659722,0,0,"👰🏼Bridal Vibes💍 Did a loose, low side bun using my @foxylocks clip in extensions in the shade “latte blonde”✨USE CODE “FOXYASH” AT CHECKOUT!
Hair clip from my friend @the__hairdresser 💗
#foxylocks #foxylocksextensions #hairinspo #hairstyles #lowbunhairstyle #lowbun #bridalhair #bridesmaidhair #bride #bunhairstyle",info\ashleyswagnerxo-1829995015573675735.jpg,macro,"👰🏼Bridal Vibes💍 Did a loose, low side bun using my clip in extensions in the shade latte blonde✨USE CODE FOXYASH AT CHECKOUT! Hair clip from my friend 💗 foxylocks foxylocksextensions hairinspo hairstyles lowbunhairstyle lowbun bridalhair bridesmaidhair bride bunhairstyle",0.4199,314,10,5,1
bambivstheworld,1982822935980544500,1550590935,625,138,8261.0,0.0923616995521123,0,0,@ctilburymakeup continues to be my weakness. I picked up one of the three new supermodel lips matte resolution lipsticks in super sexy. I've finally found what I've been looking for - a muted everyday red. Plenty of photos of myself wearing this to come 👀.,info\bambivstheworld-1982822935980544500.jpg,micro,continues to be my weakness. I picked up one of the three new supermodel lips matte resolution lipsticks in super sexy. I've finally found what I've been looking for - a muted everyday red. Plenty of photos of myself wearing this to come 👀.,0.0,256,0,1,0
reubendemaid,1643737314646872974,1510168779,5098,155,266065.0,0.0197432958111739,0,0,Fluffiest lashes ever😵😵✨😍,info\reubendemaid-1643737314646872974.jpg,macro,Fluffiest lashes ever😵😵✨😍,0.0,25,0,4,0
