post_id,username,timestamp,likes,comments,followers,engagement_rate,sponsored,is_video,caption,tier,img_file,json_meta_name,primary_image_basename,local_image_filename,resolved_image_path,image_readable,brightness,colorfulness,face_present,face_count,laplacian_variance,edge_density
1258957041004075644,kayleighlander,1464299396,94,0,8107,0.011594918,0,0,So happy to call this wonderful human my best friend👑💞,micro,info\kayleighlander-1258957041004075644.jpg,1258957041004075644.info,1258957041004075644.jpg,kayleighlander-1258957041004075644.jpg,D:\social media dataset\beauty_images_only\image\kayleighlander-1258957041004075644.jpg,TRUE,0.7743050456047058,28.0217514,1,2,558.3462671411689,558.3462671411689
1258990053005875056,olivia.cara,1464303331,3808,92,49938,0.07809684,0,0,added a little blonde back in :),mid,info\olivia.cara-1258990053005875056.jpg,1258990053005875056.info,1258990053005875056.jpg,olivia.cara-1258990053005875056.jpg,D:\social media dataset\beauty_images_only\image\olivia.cara-1258990053005875056.jpg,TRUE,0.4955143630504608,40.26243591308594,0,0,742.1760577497338,742.1760577497338
1260471922971824406,nancylovemusic,1464479984,50,1,12815,0.003979711,0,0,The time I went to @931freshradio 💚 The best experience ever! To see the full interview go to my YouTube channel! 🎥 #NancyLove #Happy #FreshRadio #RadioInterview #Milestones #ThisIsMeAlbum,micro,info\nancylovemusic-1260471922971824406.jpg,1260471922971824406.info,1260471922971824406.jpg,nancylovemusic-1260471922971824406.jpg,D:\social media dataset\beauty_images_only\image\nancylovemusic-1260471922971824406.jpg,TRUE,0.5778550505638123,23.487085342407227,1,1,939.3400476201332,939.3400476201332
1260628590872997199,bellacobian,1464498660,263,8,30691,0.00882995,0,0,🌫,mid,info\bellacobian-1260628590872997199.jpg,1260628590872997199.info,1260628590872997199.jpg,bellacobian-1260628590872997199.jpg,D:\social media dataset\beauty_images_only\image\bellacobian-1260628590872997199.jpg,TRUE,0.6068636775016785,11.32928181,0,0,446.6763024495449,446.6763024495449
1260885602486163843,utkarsha_kelkar,1464529298,976,18,23230,0.042789496,0,0,Only you can set my heart on fire,mid,info\utkarsha_kelkar-1260885602486163843.jpg,1260885602486163843.info,1260885602486163843.jpg,utkarsha_kelkar-1260885602486163843.jpg,D:\social media dataset\beauty_images_only\image\utkarsha_kelkar-1260885602486163843.jpg,TRUE,0.8520525693893433,0,0,0,572.3685440046247,572.3685440046247
1261513812187782771,fi_cavatorta,1464604187,138,0,193204,0.000714271,0,0,#Birthday shenanigans have begun with good italian food and these beauties. Thank you and love you all madly! 🎉💃🏼🍷🍝🍕💕 #Madeo,macro,info\fi_cavatorta-1261513812187782771.jpg,1261513812187782771.info,1261513812187782771.jpg,fi_cavatorta-1261513812187782771.jpg,D:\social media dataset\beauty_images_only\image\fi_cavatorta-1261513812187782771.jpg,TRUE,0.479552686,26.492897033691406,1,2,720.5386462693568,720.5386462693568
1262030747134825675,vonye_west,1464665810,23,5,2943,0.009514101,0,0,Sweaty but this may or may not be my concert eyeshadow. Cant decide #formation #worldtour #beyonce  @beyonce,micro,info\vonye_west-1262030747134825675.jpg,1262030747134825675.info,1262030747134825675.jpg,vonye_west-1262030747134825675.jpg,D:\social media dataset\beauty_images_only\image\vonye_west-1262030747134825675.jpg,TRUE,0.680855393,73.56324005126953,0,0,1151.3942188133951,1151.3942188133951
1262336543539583126,flukeofmakeup,1464702264,2331,11,97557,0.024006478,0,0,"❣Follow @_syster_yster_fillers @_syster_yster_fillers for daily lippiiie inspo😍❣
I am always in love with the results I get after my visits at @salongplazadilaura and @_syster_yster_fillers 😩😍👑👑 🇸🇪och för er som bokar tid och fixar läpparna  så gäller fortfarande min rabatt❣ FRAM TILL AUGUSTI!! ❣uppge bara Tonje i kassan när ni ska betala! 🇸🇪 #revanesse #revanessekiss #prollenium @prollenium @revanessenordic

Contacts: @desioeyes Icy Blue #desioeyes #desio",mid,info\flukeofmakeup-1262336543539583126.jpg,1262336543539583126.info,1262336543539583126.jpg,flukeofmakeup-1262336543539583126.jpg,D:\social media dataset\beauty_images_only\image\flukeofmakeup-1262336543539583126.jpg,TRUE,0.7072471976280212,50.83569336,0,0,289.7981142401695,289.7981142401695
1262534003856871534,hairmakeupbyanna,1464725803,336,2,86364,0.003913668,0,0,"My face mist by @beautybyjandd is the best I tried 💣😍
_______________________________________________________.  #makeupartistsworldwide #videoclip #makeupdolls #shophudabeauty #hudabeautylipcontour #hudabeautylipcontour #anastasiabrows #universodamaquiagem_oficial #anastasiabeverlyhills #brian_champagne #makeupslaves #makeupfanatic1 #makeuptutorial #makeupblogger #makeupvideoss #wakeupandmakeup",mid,info\hairmakeupbyanna-1262534003856871534.jpg,1262534003856871534.info,1262534003856871534.jpg,hairmakeupbyanna-1262534003856871534.jpg,D:\social media dataset\beauty_images_only\image\hairmakeupbyanna-1262534003856871534.jpg,TRUE,0.5081862807273865,49.61207580566406,1,1,1011.3984464199748,1011.3984464199748
1262597887854930370,billyalex_,1464733418,802,38,15129,0.055522506,0,0,❤️,micro,info\billyalex_-1262597887854930370.jpg,1262597887854930370.info,1262597887854930370.jpg,billyalex_-1262597887854930370.jpg,D:\social media dataset\beauty_images_only\image\billyalex_-1262597887854930370.jpg,TRUE,0.8362809419631958,71.41351318359375,0,0,316.6239720052108,316.6239720052108
1262610210115072825,therealblasian,1464734887,727,11,90639,0.00814219,0,0,Thank you so much @herflyazz.cartoonz I love it! ❤😍 Even got the @blackpyramidofficial hat lol!,mid,info\therealblasian-1262610210115072825.jpg,1262610210115072825.info,1262610210115072825.jpg,therealblasian-1262610210115072825.jpg,D:\social media dataset\beauty_images_only\image\therealblasian-1262610210115072825.jpg,TRUE,0.6531089544296265,50.23028945922852,0,0,1796.0774722304648,1796.0774722304648
